"relative_path","classification","lane","lineage_hint","bytes","last_write_time","sha256"
".ai\triggers\004_dcs_authorization_required.trigger.json","REVIEW","DCSE-CP","Root project/source lineage","4124","2026-05-01T06:50:38","76CC5E684D03B6556F3B3556AAF298A132C789AD44C555676DA731EAB4361BD1"
".ai\triggers\005_governance_stop_gate_patch_required.trigger.json","REVIEW","DCSE-CP","Root project/source lineage","2065","2026-05-01T06:40:32","81AD4A2FEEC03CB0B17383C1597E9F76E2735436395CD3A428AB4F5A327AFEE4"
".ai\triggers\006_controlled_execution_plan_required.trigger.json","REVIEW","DCSE-CP","Root project/source lineage","1673","2026-05-11T23:39:48","B50012EB48D1542216906549EA78CAA5C1CDB6C94A442560E000498B0C0DC5A2"
".ai\triggers\006_phase2a_vector_schema_test_required.trigger.json","REVIEW","DCSE-SS/SC","Prior staged review/artifact lineage","5165","2026-05-01T06:54:41","0E07DCCEC7634B08A398F70C74C067FF5B31A53C162F8F55BC95814566A05127"
".ai\triggers\007_dcs_phase2b_authorization_required.trigger.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1792","2026-05-01T06:58:27","CA439429D576068A35A95E4929264A86D2B50833FB835583715EB0E5FD1E2AD8"
".ai\triggers\007a_vector_runtime_validation_required.trigger.json","REVIEW","DCSE-CP","Root project/source lineage","5456","2026-05-01T07:05:13","3C91629FA0BB98389CFE22A59EB94D1396A483BE7D148E3CF117505FFF77AA56"
".ai\triggers\008_dcs_phase2b_authorization_required.trigger.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1846","2026-05-01T07:05:13","075FCA466AEBD98120EC3B0373138BFA01E18CAE70C88083C64D12FC0CCC8DC7"
".ai\triggers\claude_project_lane_leakage_review.trigger.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","698","2026-05-07T15:17:53","0F479C4476D55E9BE7E4CF8AC10AD361D02E4DFACE593EB03F5AC1EBA66BB177"
".ai\triggers\knowledge_source_lane_leakage_review.trigger.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","862","2026-05-07T15:41:03","0C7C0AA851EF5961B68BCA7C027D64738550FDB685A03815A7995359E2DCE6E3"
".env","SUPPORT","DCSE-CP","Root project/source lineage","433","2026-06-01T14:11:13","968734CF9058F59C756168BF161D6D3F0BB5410DAEE48DEFF823DCCE44648CBA"
".env.example","SUPPORT","DCSE-CP","Root project/source lineage","821","2026-05-30T16:12:40","D8E639FA53C699624D8AE3F2DD7626E578CC57C4CE36BBFB33F927C55B5328DA"
".gitignore","SUPPORT","DCSE-CP","Root project/source lineage","146","2026-05-01T05:29:47","4D53F6C8D9692EC110D0E9840EF8B07911CD3A43B9DA8351F755F87AC1A8F9E2"
"artifacts\phase2a_local_candidate_search.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","126139","2026-05-11T17:01:33","36DDDE1B24C42DB6FEDC31D4C3AC4FA14251C6FD70FD78BA7016C84B98E4CDFA"
"artifacts\phase2a_manual_supabase_execution_packet\01_schema.sql","REVIEW","DCSE-SS/SC","Prior staged review/artifact lineage","2852","2026-05-11T21:25:13","4A4D7BC794379D2F8DBC2C524C14AF3B797FE0D9F6E7B396945C74BB775A4764"
"artifacts\phase2a_manual_supabase_execution_packet\02_insert_sources.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","3830","2026-05-11T21:25:23","CFEB8ADA26BD04DAE57536D33C8F4A17D5B59644AB5D280E1E803C4CA58DF3AF"
"artifacts\phase2a_manual_supabase_execution_packet\03_verify_sources.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1971","2026-05-11T21:25:27","6307ABBBA2350AB8CF731436630B4401C1E384BA2459161555326CE35418AD13"
"artifacts\phase2a_manual_supabase_execution_packet_v2\01_create_kb_sources.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","2387","2026-05-11T22:05:18","9A9D86F2C9C61098B200679DFEA13709D02C9E0056335E6693E7715CE813F531"
"artifacts\phase2a_manual_supabase_execution_packet_v2\02_insert_kb_sources.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","2797","2026-05-11T22:05:22","9AB3C1209396CBB49D0CBB7A8E9BAC78F3A867C554DE2BFCC0F95BAAF9F68C65"
"artifacts\phase2a_manual_supabase_execution_packet_v2\03_verify_kb_sources.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1784","2026-05-11T22:05:24","2DAD4B9058EAFB498C66505D22955459DCE2F5876B67BB65867062AFF1807437"
"artifacts\phase2a_manual_supabase_execution_packet_v2\04_schema_collision_report.md","REVIEW","DCSE-SS/SC","Prior staged review/artifact lineage","1871","2026-05-11T22:05:54","F80EDD344D56C3C3628C1389D7090CF16405BD0C5842CD84BA45D89B4C2E2161"
"artifacts\phase2a_manual_supabase_execution_packet_v2\phase2a_manual_execution_packet_v2_manifest.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","995","2026-05-11T22:06:10","65DDD9B78E8BC56041B5F1D43EBD13F8E34B0805FFDDE03049FE549E5A96FBA7"
"artifacts\phase2a_orchestrator_review_summary.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","732","2026-05-11T17:07:18","C0016BC0BA971286B43587C3123EBD7919B87A4BD1107DF95E39BF8E85E4427C"
"artifacts\phase2a_pilot_corpus_for_orchestrator.zip","REVIEW","DCSE-CP","Prior staged review/artifact lineage","15686","2026-05-11T17:04:18","A52DF247C181B8972F6E9205226499D4D243162423B198CDBE74979AA6855632"
"artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__handoffs__phase2a_to_dcs.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1965","2026-05-01T06:54:22","A1ADCA16C91D6B1674E72F84420F000F090C54A03AACE0DD9468858EDBB1C2F3"
"artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__handoffs__phase2a1_to_dcs.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1738","2026-05-01T07:03:11","E324C3BA567D16EEDE362841AF85C3E610C125FD661FDAEF36CACC402F3A42AE"
"artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__TRIGGER_HANDOFF_PROTOCOL.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","3887","2026-05-01T06:29:46","67F525603CB5F04D238134112135648B5C1C5251C3CFAAE3562009D637E0E1F8"
"artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__00_PACKAGE_MANIFEST.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","2513","2026-05-01T04:47:08","9490C8FA04EF4E67FCA2FCAE2BE4F240273A9030C63E5E36EA12F43AE4967273"
"artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__01_DCSE_v6_7_X_MASTER_ADDENDUM.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","3741","2026-05-01T04:47:08","187BB51F1FBDD170027881F72CAC4D02614C53C1795A1D19207ACC51AF61DCF6"
"artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__02_MODEL_CONFIGURATION_GUIDE.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","3819","2026-05-01T04:47:08","58056309E7C79F5B0BCAABBCC53397611F8260621404636F3664A75664C21AF7"
"artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__03_SKILL_REGISTRY.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","2302","2026-05-01T04:47:08","193C50708AC8F22D0742C3F6CA35D71BDB6A5FD3D0EC5033A8A6528F70A5E4B2"
"artifacts\phase2a_pilot_corpus_for_orchestrator\docs__audit__Phase2A_Vector_Test_Report.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","3824","2026-05-01T06:54:22","2E2B4E6C76339BFCE6866DE9DF954CA5889FB727778829D1AF969736909AFAD2"
"artifacts\phase2a_pilot_corpus_for_orchestrator\phase2a_pilot_corpus_export_report.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","8648","2026-05-11T17:04:17","34D2A8AAF3F04D6500E8497F095701176749F4B545752876624B36CEF9290218"
"artifacts\phase2a_pilot_corpus_for_orchestrator\project_manifest.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1224","2026-05-01T05:29:47","659B45212A8F3BA51782931C1A2BE56436B342A07898D56EB715719DC6C1BF70"
"artifacts\phase2a_pilot_corpus_for_orchestrator\vector-memory__phase2a_test_corpus_manifest.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","3655","2026-05-01T06:54:22","DF11F7327228B8D29953F7C6A2F79880A94CF69827F06862DC8C9B6966C5BFAB"
"artifacts\phase2a1_closeout\phase2a1_next_phase_recommendation.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1326","2026-05-11T22:19:53","A0CDADA5305493E877F05E7BEAAE2F86933B04A1CE19F33E49F54F3BDE0F84CC"
"artifacts\phase2a1_closeout\phase2a1_source_registry_completion_report.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","877","2026-05-11T22:19:50","35422987EC818EC6B08F8E3170A5BC294D2B8AE157E7BD010F72AF4018E2F94B"
"artifacts\phase2a1_closeout\phase2a1_source_registry_completion_report.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1812","2026-05-11T22:19:45","896B1B3EE7A0609FEA0DC47A2E3D70817C35AE9D448DB2E2828FE4B0A34A066B"
"artifacts\phase2a2_ai_review_handoff_manifest.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","2940","2026-05-11T22:30:14","897FAFE9C15FAB808E508DC22FB981A73FAF3D28EC6E57FDE4DB2A118F31193C"
"artifacts\phase2a2_ai_review_handoff_manifest_v3.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","2247","2026-05-11T22:39:07","D30DB4FCA1B11B150BE990B9BD762260B83FD0E88DB8B508325D726D2EEB5E72"
"artifacts\phase2a2_ai_review_handoff_packet.zip","REVIEW","DCSE-CP","Prior staged review/artifact lineage","12761","2026-05-11T22:29:48","A2ACC3B2671315033F9B619BFD1E1442F748CAED5C63FD61B6862E57F1E06EAA"
"artifacts\phase2a2_ai_review_handoff_packet_v3.zip","REVIEW","DCSE-CP","Prior staged review/artifact lineage","14353","2026-05-11T22:39:15","81A6BFFB78A17951B20DD5E9CDCC586705E74BE85097001B059ECA953B4DAC88"
"artifacts\phase2a2_ai_review_handoff_packet_v4.zip","REVIEW","DCSE-CP","Prior staged review/artifact lineage","18883","2026-05-11T22:50:56","C6AB02EBEC62BB03ED0DDF4D603FB032F345282F93F3D815FFE83FDAE042D94B"
"artifacts\phase2a2_ai_review_handoff_packet_v5.zip","REVIEW","DCSE-CP","Prior staged review/artifact lineage","22556","2026-05-11T23:00:04","3F3882AA0A952ECE027A680FF2DFAB9073DD57970CF4DDCAC605272CABAD4C47"
"artifacts\phase2a2_ai_review_handoff_packet_v6.zip","REVIEW","DCSE-CP","Prior staged review/artifact lineage","25590","2026-05-11T23:05:21","A5E9E8A10A3F550BA6B0988554ED8B92F9F5D7A2A0B4A8EA0DDD2F92FEE6187B"
"artifacts\phase2a2_ai_review_packet\phase2a2_ai_review_brief.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","2413","2026-05-11T22:38:33","350517AB664B6E7487B90523C3CAE76AE968E5D58B2A3946FB696999C9381403"
"artifacts\phase2a2_ai_review_packet\phase2a2_dcs_decision_memo.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1785","2026-05-12T23:46:57","3D1239BD1BDE67841982EDDBE9F51A3F121D934BC5AAB984A2EA73EF4CEE27AE"
"artifacts\phase2a2_ai_review_packet\phase2a2_dcs_decision_memo_template.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1263","2026-05-11T22:47:40","D4EC14DA7980AE62157EF7EE5FADDDBC6A253313F210DF3627AAC828053F9AAC"
"artifacts\phase2a2_ai_review_packet\phase2a2_gemini_auditor_prompt.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1017","2026-05-11T22:25:50","4D96BB518F82B632621B945636C65496AA7AF8328A259979B1465593E09F7A9A"
"artifacts\phase2a2_ai_review_packet\phase2a2_gemini_auditor_report.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","2260","2026-05-12T23:46:47","D70F1918667ED1F44396C6996F3D119CC3A0C1D4FF4EA5A7EBDAEAF17F7E24CE"
